Time [Sec] - Base	g - Base	Time [Sec] - Ground	g - Ground
0,1206	-0,0773715	0,1206	0,0826945
0,1208	-0,0741191	0,1208	0,0897536
0,121	-0,0686715	0,121	0,0986106
0,1212	-0,0614346	0,1212	0,107418
0,1214	-0,0529539	0,1214	0,114178
0,1216	-0,0438467	0,1216	0,117204
0,1218	-0,0347323	0,1218	0,115501
0,122	-0,0261656	0,122	0,109002
0,1222	-0,0185845	0,1222	0,0985486
0,1224	-0,0122756	0,1224	0,0856775
0,1226	-0,00735948	0,1226	0,072237
0,1228	-0,0037972	0,1228	0,0599036
0,123	-0,00141296	0,123	0,0497271
0,1232	6,99E-05	0,1232	0,0418052
0,1234	0,000985553	0,1234	0,035147
0,1236	0,00168226	0,1236	0,0278342
0,1238	0,00248585	0,1238	0,0173719
0,124	0,00367054	0,124	0,00129875
0,1242	0,00544355	0,1242	-0,0222177
0,1244	0,00793895	0,1244	-0,05376
0,1246	0,0112201	0,1246	-0,0922559
